incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
901805674,C18049800,10/30/2018 12:00:26 AM,"511 - CRIMINAL WARRANT, MISDEMEANOR (OUTSIDE AGENCY)","511 - CRIMINAL WARRANT, MISDEMEANOR (OUTSIDE AGENCY)",,12000 Block 77TH AVE S,,SEATTLE,WA,98178,,47.4948322,-122.2372906,01/17/2019 07:26:33 PM,02/21/2019 01:12:47 AM,POINT (-122.2372906 47.4948322),0,Tuesday,Other
901803747,C18047197,10/30/2018 12:00:55 AM,332 - TRESPASS,332 - TRESPASS,,3600 Block SOUTHCENTER BLVD,,TUKWILA,WA,98188,,47.4642725,-122.2883979,01/17/2019 07:17:53 PM,02/21/2019 12:55:24 AM,POINT (-122.2883979 47.4642725),0,Tuesday,Property Crime
907653068,C18052480,10/30/2018 12:01:45 AM,190 - CREDIT CARD/ATM FRAUD,190 - CREDIT CARD/ATM FRAUD,,23900 Block SE TIGER MOUNTAIN RD,,ISSAQUAH,WA,98027,,47.47482540000001,-122.0220021,02/21/2019 01:28:18 AM,02/21/2019 01:29:28 AM,POINT (-122.0220021 47.47482540000001),0,Tuesday,Property Crime
901804008,C18047214,10/30/2018 04:00:18 AM,"274 - BURGLARY, RESIDENTIAL","274 - BURGLARY, RESIDENTIAL",,17700 Block 161ST AVE SE,,RENTON,WA,98058,,47.4429988,-122.1262063,01/17/2019 07:18:57 PM,02/21/2019 12:57:17 AM,POINT (-122.1262063 47.4429988),4,Tuesday,Breaking & Entering
901804050,C18047210,10/30/2018 05:00:00 AM,"561 - MEDICAL ASSISTANCE, CALL FOR","561 - MEDICAL ASSISTANCE, CALL FOR",,21600 Block 101ST LN SW,,VASHON,WA,98070,,47.4103343,-122.462336,01/17/2019 07:18:57 PM,02/21/2019 12:57:17 AM,POINT (-122.462336 47.4103343),5,Tuesday,Community Policing
901827321,C18047309,10/30/2018 05:10:07 AM,"274 - BURGLARY, RESIDENTIAL","274 - BURGLARY, RESIDENTIAL",,23600 Block SE 374TH ST,,ENUMCLAW,WA,98022,,47.265229,-122.0269871,01/17/2019 07:44:22 PM,02/21/2019 01:41:14 AM,POINT (-122.0269871 47.265229),5,Tuesday,Breaking & Entering
901803927,C18047215,10/30/2018 06:41:00 AM,222 - DEATH INVESTIGATION,222 - DEATH INVESTIGATION,,7600 Block 260TH AVE NE,,REDMOND,WA,98053,,47.6687357,-121.989754,01/17/2019 07:18:31 PM,02/21/2019 12:56:31 AM,POINT (-121.989754 47.6687357),6,Tuesday,Death
907650893,C18047216,10/30/2018 07:15:45 AM,236 - VIOLATION OF COURT ORDERS,236 - VIOLATION OF COURT ORDERS,,200 Block SW 114TH ST,,SEATTLE,WA,98146,,47.5010163,-122.337039,02/21/2019 12:53:41 AM,02/21/2019 12:55:20 AM,POINT (-122.337039 47.5010163),7,Tuesday,Other
901803933,C18047230,10/30/2018 09:00:23 AM,334 - VANDALISM UNDER $1500,334 - VANDALISM UNDER $1500,,30100 Block 50TH LN SO,,AUBURN,WA,98001,,47.3311257,-122.2712959,01/17/2019 07:18:31 PM,02/21/2019 12:56:31 AM,POINT (-122.2712959 47.3311257),9,Tuesday,Property Crime
901803921,C18047241,10/30/2018 09:45:46 AM,"284 - LARCENY, OTHER","284 - LARCENY, OTHER",,11000 Block 2ND AVE S,,SEATTLE,WA,98168,,47.5049544,-122.3307475,01/17/2019 07:18:31 PM,02/21/2019 12:56:31 AM,POINT (-122.3307475 47.5049544),9,Tuesday,Theft
901803929,C18047238,10/30/2018 10:04:01 AM,"112 - ASSAULT, SIMPLE","112 - ASSAULT, SIMPLE",,13400 Block MARTIN LUTHER KING JR WAY S,,SEATTLE,WA,98178,,47.4815157,-122.2464575,01/17/2019 07:18:31 PM,02/21/2019 12:56:31 AM,POINT (-122.2464575 47.4815157),10,Tuesday,Assault
901806319,C18048350,10/30/2018 10:08:14 AM,"504 - CRIMINAL WARRANT, MISDEMEANOR","504 - CRIMINAL WARRANT, MISDEMEANOR",,23400 Block 104TH AVE SE,,KENT,WA,98031,,47.392052,-122.2025412,01/17/2019 07:29:52 PM,02/21/2019 01:19:30 AM,POINT (-122.2025412 47.392052),10,Tuesday,Other
907650916,C18047245,10/30/2018 10:19:37 AM,"112 - ASSAULT, SIMPLE","112 - ASSAULT, SIMPLE",,7500 Block S LAUREL ST,,SEATTLE,WA,98178,,47.5083765,-122.2399722,02/21/2019 12:53:41 AM,02/21/2019 12:55:20 AM,POINT (-122.2399722 47.5083765),10,Tuesday,Assault
901803902,C18047240,10/30/2018 10:58:00 AM,"324 - PROPERTY, FOUND","324 - PROPERTY, FOUND",,9100 Block MARTIN LUTHER KING JR WAY S,,SEATTLE,WA,98118,,47.52110589999999,-122.2793668,01/17/2019 07:18:31 PM,02/21/2019 12:56:14 AM,POINT (-122.2793668 47.52110589999999),10,Tuesday,Other
901805801,C18049745,10/30/2018 10:59:18 AM,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,150 - SEXUAL OFFENDER REGISTRATION VIOLATION,,2400 Block S 224TH ST,,SEATTLE,WA,98198,,47.4010385,-122.3014692,01/17/2019 07:27:05 PM,02/21/2019 01:13:58 AM,POINT (-122.3014692 47.4010385),10,Tuesday,Other Sexual Offense
901803928,C18047261,10/30/2018 11:00:52 AM,332 - TRESPASS,332 - TRESPASS,,37100 Block 28TH AVE S,,FEDERAL WAY,WA,98003,,47.268381,-122.2944121,01/17/2019 07:18:31 PM,02/21/2019 12:56:31 AM,POINT (-122.2944121 47.268381),11,Tuesday,Property Crime
901805130,C18048331,10/30/2018 11:48:45 AM,160 - CHILD ABUSE,160 - CHILD ABUSE,,12800 Block 60TH LN S,,SEATTLE,WA,98178,,47.4883871,-122.2585803,01/17/2019 07:24:17 PM,02/21/2019 01:08:09 AM,POINT (-122.2585803 47.4883871),11,Tuesday,Assault
